상세영업상태명,지번주소,행정구역,경도,위도
영업,서울특별시 송파구 가락동 99-2 지상2층,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 가락동 79-4 세화빌딩,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 방이동 34-4,송파구,965422.669669839,1946323.57531478
영업,서울특별시 송파구 방이동 34-8 지상2층,송파구,965443.277475024,1946261.801099384
영업,서울특별시 송파구 가락동 99-1 지하1층,송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 방이동 34-9 B1호,송파구,965447.355730818,1946249.569138339
영업,서울특별시 송파구 가락동 99-2 가락훼미리오피스텔2차 지하2층,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 방이동 24-8 지하1층,송파구,965341.107390705,1946285.266682744
영업,서울특별시 송파구 가락동 98-7번지 지하1층 108호 ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 가락동 99-1 ,송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 가락동 79-4번지 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 98-7번지 ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 가락동 98-7번지 ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 가락동 79-4 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 방이동 36-8번지 ,송파구,965471.298483548,1946257.674866579
영업,서울특별시 송파구 잠실동 180-4번지 지하1층 ,송파구,963001.00169524,1945842.099625214
영업,서울특별시 송파구 방이동 46-3번지 ,송파구,965747.943808273,1946347.853744772
영업,서울특별시 송파구 방이동 28-7번지 지하1층 ,송파구,965388.459884574,1946222.349154051
영업,서울특별시 송파구 방이동 24 지하1층 ,송파구,965323.582970093,1946277.81440569
영업,서울특별시 송파구 잠실동 183-1번지 지하1층 ,송파구,963178.152293604,1945834.752318113
영업,서울특별시 송파구 풍납동 481-1번지 ,송파구,966621.275526664,1948589.130047946
영업,서울특별시 송파구 가락동 98-7번지 지하1층 106-1 ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 잠실동 175-14 지하1층 ,송파구,962954.025334711,1945885.227552922
영업,서울특별시 송파구 가락동 79-4,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 방이동 37-7번지 지하1층 ,송파구,965515.477956226,1946314.682140265
영업,서울특별시 송파구 방이동 37-10 지하1층 ,송파구,965502.148377103,1946299.386378853
영업,서울특별시 송파구 잠실동 178-5 지하1층 ,송파구,962923.92399933,1945803.791349828
영업,서울특별시 송파구 방이동 36 지상 2층 ,송파구,965443.317006772,1946341.484277408
영업,서울특별시 송파구 잠실동 177-4번지 지하1층 ,송파구,962882.776224866,1945781.477355603
영업,서울특별시 송파구 가락동 98-2 지하2층 ,송파구,966270.780946205,1943952.205709414
영업,서울특별시 송파구 가락동 98-7 (지하1층) ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 방이동 34-7 지하1층 ,송파구,965439.508831083,1946273.106771215
영업,서울특별시 송파구 방이동 39-12번지 지상2층 ,송파구,965569.003053168,1946357.908145463
영업,서울특별시 송파구 방이동 24-1 ,송파구,965333.883228792,1946246.934243438
영업,서울특별시 송파구 방이동 36번지 지하1층 ,송파구,965443.317006772,1946341.484277408
영업,서울특별시 송파구 가락동 99-1번지 지하1층 ,송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 방이동 36-3 지하1층 ,송파구,965460.602063858,1946289.632510082
영업,서울특별시 송파구 가락동 99-1 (지하1층),송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 잠실동 181-2 지하1층,송파구,963013.679355265,1945882.180551299
영업,서울특별시 송파구 잠실동 177-5 지하1층,송파구,962876.785352392,1945814.487080859
영업,서울특별시 송파구 방이동 37-2 지하 1층,송파구,965510.032315577,1946275.760685951
영업,서울특별시 송파구 가락동 99-1 ,송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 방이동 36-1번지 지하1층 ,송파구,965448.029174196,1946327.295487686
영업,서울특별시 송파구 가락동 79-4번지 세화빌딩 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 방이동 34-7 (2층) ,송파구,965439.508831083,1946273.106771215
영업,서울특별시 송파구 방이동 38-12번지 지상2층 ,송파구,965543.582454709,1946304.682857406
영업,서울특별시 송파구 방이동 34-7 (3층) ,송파구,965439.508831083,1946273.106771215
영업,서울특별시 송파구 가락동 99-2번지 훼미리2차오피스텔 지상2층 2층2호 ,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 방이동 34-6번지 지하1층 ,송파구,965435.739064312,1946284.412447789
영업,서울특별시 송파구 석촌동 158번지 호텔 레이크 지하2층 ,송파구,964726.849656029,1945363.103862434
영업,서울특별시 송파구 잠실동 181-4번지 지하1층 ,송파구,963045.618521546,1945880.526911493
영업,서울특별시 송파구 방이동 24-0번지 (1층) ,송파구,965323.582970093,1946277.81440569
영업,서울특별시 송파구 가락동 79-4 세화빌딩 지하1층 106-1호 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 79-5 밀리아나2차오피스텔 2층 ,송파구,966458.738412275,1943963.010836213
영업,서울특별시 송파구 석촌동 1-7 로사나관광호텔 지하1층 ,송파구,964429.924724385,1945268.05889365
영업,서울특별시 송파구 방이동 24-0 지상3층 ,송파구,965323.582970093,1946277.81440569
영업,서울특별시 송파구 방이동 34-4 타임모텔 지하1층 102호,송파구,965422.669669839,1946323.57531478
영업,서울특별시 송파구 방이동 34-8 지하1층,송파구,965443.277475024,1946261.801099384
영업,서울특별시 송파구 잠실동 183-9 ,송파구,963295.912268609,1945815.549996137
영업,서울특별시 송파구 가락동 98-6 지하3층 ,송파구,966330.127405532,1943939.226265531
영업,서울특별시 송파구 가락동 99-2번지 ,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 가락동 98-6 지하1층 ,송파구,966330.127405532,1943939.226265531
영업,서울특별시 송파구 가락동 98-2번지 뉴훼미리1차 지상2층 201호,송파구,966270.780946205,1943952.205709414
영업,서울특별시 송파구 잠실동 178-5번지 지상3층 ,송파구,962923.92399933,1945803.791349828
영업,서울특별시 송파구 석촌동 158번지 호텔 레이크 지하3층 ,송파구,964726.849656029,1945363.103862434
영업,서울특별시 송파구 가락동 79-4번지 201-A호 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 79-7번지 지상2층 34호 ,송파구,966525.380201935,1944009.799942614
영업,서울특별시 송파구 가락동 79-7번지 2층 1호2호 ,송파구,966525.380201935,1944009.799942614
영업,서울특별시 송파구 석촌동 1-7번지 지하2층 ,송파구,964429.924724385,1945268.05889365
영업,서울특별시 송파구 석촌동 1-7번지 지하3층 ,송파구,964429.924724385,1945268.05889365
영업,서울특별시 송파구 가락동 98-7번지 지하1층 106-2호 ,송파구,966358.401092967,1943955.162903175
영업,서울특별시 송파구 가락동 79-7번지 ,송파구,966525.380201935,1944009.799942614
영업,서울특별시 송파구 가락동 79-4 지하1층 101호,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 방이동 24-0 지상2층,송파구,965323.582970093,1946277.81440569
영업,서울특별시 송파구 잠실동 182-0 지하1층,송파구,963082.032084894,1945836.836198361
영업,서울특별시 송파구 가락동 99-1 지상1층 104호 - 108호,송파구,966358.308452689,1943897.402929282
영업,서울특별시 송파구 가락동 79-7번지 (지하1층1213호) ,송파구,966525.380201935,1944009.799942614
영업,서울특별시 송파구 방이동 39-12번지 지하1층 ,송파구,965569.003053168,1946357.908145463
영업,서울특별시 송파구 방이동 38-13번지 (지상2층) ,송파구,965548.272949214,1946290.6278451
영업,서울특별시 송파구 가락동 79-4번지 세화빌딩 지하1층 111호112호113호 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 99-2 3층 ,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 가락동 99-2 ,송파구,966323.446051905,1943873.941595431
영업,서울특별시 송파구 가락동 98-6 지하2층 ,송파구,966330.127405532,1943939.226265531
영업,서울특별시 송파구 가락동 79-4 2층 202-A호 ,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 79-4번지 2층 202-B호,송파구,966429.818540101,1943948.072386248
영업,서울특별시 송파구 가락동 98-2 (지하1층) ,송파구,966270.780946205,1943952.205709414
영업,서울특별시 송파구 방이동 38-12번지 (지하1층) ,송파구,965543.582454709,1946304.682857406
영업,서울특별시 송파구 가락동 79-4 201-B호,송파구,966429.818540101,1943948.072386248
