시설명,자치구명,연령구분,X좌표값,Y좌표값,geometry
송파동 공동육아방,송파구,영유아,127.11305,37.50859,POINT (965801.3114214091 1945549.6347315337)
송파여성문화회관공동육아방,송파구,영유아,127.10974,37.50598,POINT (965507.5711582876 1945261.280439781)
위례 열린육아방,송파구,영유아,127.13483374188428,37.47616294091133,POINT (967712.6124572742 1941944.3825303172)
송파18호점 우리동네키움센터(위례동2호점 송파키움센터),송파구,초등학생,127.15109,37.4882,POINT (969154.9169317447 1943274.3584071724)
송파17호점 우리동네키움센터(거여2동 송파키움센터),송파구,초등학생,127.15057,37.49321,POINT (969111.0098122564 1943830.353373864)
송파16호점 우리동네키움센터(문정1동 송파키움센터),송파구,초등학생,127.12788,37.49014,POINT (967103.9006460068 1943497.4454592029)
송파15호점(융합형) 우리동네키움센터(잠실본동2호점 송파키움센터),송파구,초등학생,127.08268,37.50612,POINT (963115.9798702133 1945287.0748602448)
송파14호점 우리동네키움센터(장지동 송파키움센터),송파구,초등학생,127.12672,37.48198,POINT (966997.7647457938 1942592.5565982135)
송파13호점 우리동네키움센터(송파2동 송파키움센터),송파구,초등학생,127.11558,37.50196,POINT (966021.9092909623 1944813.1635456241)
송파12호점 우리동네키움센터(방이1동 송파키움센터),송파구,초등학생,127.11952,37.51195,POINT (966374.6403501972 1945920.0730370684)
송파11호점(융합형) 우리동네키움센터(오금동 송파키움센터),송파구,초등학생,127.14152,37.50043,POINT (968314.053932719 1944634.37110296)
송파10호점 우리동네키움센터(가락2동 송파키움센터),송파구,초등학생,127.12721,37.49834,POINT (967048.2740838557 1944407.4136117818)
송파9호점 우리동네키움센터(삼전동 2호점 송파키움센터),송파구,초등학생,127.09461,37.50673,POINT (964170.6860256647 1945350.141240061)
송파8호점 우리동네키움센터(석촌동 송파키움센터),송파구,초등학생,127.10405,37.50431,POINT (965003.8891118865 1945078.1057006884)
송파7호점 우리동네키움센터(위례동 송파키움센터),송파구,초등학생,127.13572,37.47573,POINT (967790.7883851293 1941896.0473608014)
송파6호점 우리동네키움센터(문정2동 송파키움센터),송파구,초등학생,127.11148,37.48977,POINT (965653.9350685299 1943462.2536987576)
송파5호점 우리동네키움센터(가락본동 송파키움센터),송파구,초등학생,127.12345,37.50073,POINT (966716.9790246865 1944673.891023169)
송파1호점 우리동네키움센터(잠실본동 송파키움센터),송파구,초등학생,127.0800711176726,37.50963899058105,POINT (962887.1400146468 1945678.509986495)
송파2호점 우리동네키움센터(송파1동 송파키움센터),송파구,초등학생,127.10977,37.50597,POINT (965510.2180645129 1945260.1600098768)
송파3호점 우리동네키움센터(삼전동 송파키움센터),송파구,초등학생,127.09495431545572,37.49915383368968,POINT (964197.5000000019 1944509.484382401)
송파4호점 우리동네키움센터(가락1동 송파키움센터),송파구,초등학생,127.10987,37.49649,POINT (965514.6966643056 1944208.380524666)
해밀지역아동센터,송파구,초중생,127.14212,37.50133,POINT (968367.4676255805 1944734.0181727563)
그린리버지역아동센터,송파구,초등학생,127.14933,37.50146,POINT (969004.8056789681 1944746.041863701)
아름다운꿈지역아동센터,송파구,초등학생,127.15,37.49581,POINT (969061.6952121115 1944118.992578553)
꿈꾸는지역아동센터,송파구,초등학생,127.13702,37.50043,POINT (967916.2988195401 1944635.8956209756)
솔바람지역아동센터,송파구,초등학생,127.15448,37.49632,POINT (969457.914476539 1944174.1104506906)
송파희망세상지역아동센터,송파구,초등학생,127.14733,37.49256,POINT (968824.3284626994 1943759.3085105347)
푸른솔지역아동센터,송파구,초등학생,127.11342,37.53525,POINT (965846.167052194 1948507.259716412)
누리미지역아동센터,송파구,초등학생,127.14893,37.50109,POINT (968969.2970420662 1944705.1246856723)
산돌예빛지역아동센터,송파구,초등학생,127.11596,37.53154,POINT (966068.8927840588 1948094.7383315244)
구립 오금동 지역아동센터,송파구,초중생,127.13985,37.49819,POINT (968165.49165132 1944386.4218764894)
구립 문정1동 지역아동센터,송파구,중학생,127.12732048262808,37.48816348038599,POINT (967053.5700073243 1943278.360008171)
삼전지역아동센터,송파구,초등학생,127.09008,37.50604,POINT (963769.9788213512 1945275.3246520816)
도담지역아동센터,송파구,초등학생,127.12059,37.53716,POINT (966480.4844618724 1948716.582832487)
해오름지역아동센터,송파구,초중생,127.10732,37.50267,POINT (965292.1506396844 1944894.9475374436)
새비전지역아동센터,송파구,초등학생,127.1415,37.49777,POINT (968311.1620638358 1944339.268943364)
아름다운지역아동센터,송파구,초등학생,127.12593,37.49623,POINT (966934.2013198411 1944173.7723395468)
기쁨지역아동센터,송파구,초등학생,127.1276,37.48445,POINT (967076.650985742 1942866.2775768419)
R&T지역아동센터,송파구,초등학생,127.13486,37.50623,POINT (967727.8729630141 1945280.1052471565)
솔빛지역아동센터,송파구,초중생,127.14303,37.49886,POINT (968446.8622285819 1944459.6829827633)
