Unnamed: 0,연번,시도청,경찰서,관서명,지역파출소,치안센터명,주소,Latitude,Longitude,geometry
133,134,서울청,서울송파,방이,지구대,송파1치안센터,서울 송파구 백제고분로 392,37.5062421,127.1093155,POINT (965470.1730587306 1945290.5143918893)
134,135,서울청,서울송파,잠실,지구대,잠실본동치안센터,서울 송파구 백제고분로 15길 5,37.5059838,127.0845984,POINT (963285.4680154916 1945271.214160675)
135,136,서울청,서울송파,잠실,지구대,잠실5치안센터,서울 송파구 잠실로 51-29,37.5132358,127.094223,POINT (964139.5944942345 1946072.0652498703)
136,137,서울청,서울송파,삼전,지구대,석촌치안센터,서울 송파구 백제고분로 37길 20,37.5035978,127.103875,POINT (964988.0890537454 1944999.1568968669)
137,138,서울청,서울송파,가락,지구대,가락2치안센터,서울 송파구 오금로 46길 55,37.4931816,127.1323534,POINT (967500.6768422306 1943833.3361274018)
138,139,서울청,서울송파,문정,지구대,문정2치안센터,서울 송파구 중대로 18,37.4899104,127.1110914,POINT (965619.6461429499 1943477.9719626044)
139,140,서울청,서울송파,마천,파출소,마천1치안센터,서울 송파구 성내천로 43가길 14-1,37.4964299,127.1549758,POINT (969501.7853271916 1944186.1423335483)
140,141,서울청,서울송파,풍납,파출소,풍납1치안센터,서울 송파구 풍성로 25길 17,37.5350457,127.1204452,POINT (966466.745108576 1948482.0656513483)
141,142,서울청,서울송파,신천,파출소,월드치안센터,서울 송파구 송파대로 567 지하1층,37.513265,127.101133,POINT (964750.2797441565 1946072.693580453)
142,143,서울청,서울송파,위례,파출소,장지치안센터,서울 송파구 성남대로 1576,37.4705103999999,127.1270218,POINT (967019.4074709172 1941319.981189529)
